accuracy : 0.5152743142144637, loss : 0.10137051343917847, index : 400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 
accuracy : 0.6962882778323349, loss : 0.00033923779847100377, index : 11200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.75, loss : 7.787536742398515e-05, index : 0, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7419154228855724, loss : 0.046149834990501404, index : 200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7415835411471324, loss : 5.336499816621654e-05, index : 400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7368968386023296, loss : 0.00019502198847476393, index : 600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7292446941323348, loss : 0.0004357981961220503, index : 800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7288961038961042, loss : 1.4901162970204496e-08, index : 1000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7283513738551212, loss : 0.00021168623061385006, index : 1200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7278729478943627, loss : 0.00012772348418366164, index : 1400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7252498438475967, loss : 9.44769362831721e-06, index : 1600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7275124930594127, loss : 8.029088348848745e-05, index : 1800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7276986506746638, loss : 0.000621250772383064, index : 2000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7285324852339853, loss : 2.01167290470039e-06, index : 2200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7278738025822579, loss : 1.2532505024864804e-05, index : 2400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7282295271049598, loss : 1.788140622238643e-07, index : 2600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7285344519814357, loss : 1.0624979040585458e-05, index : 2800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7277157614128629, loss : 0.008807551115751266, index : 3000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7268431740081229, loss : 0.00418221578001976, index : 3200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7257056748015294, loss : 0.0002677400188986212, index : 3400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.72462510413774, loss : 5.662454327648447e-07, index : 3600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7233951591686402, loss : 0.0003985777439083904, index : 3800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7235066233441643, loss : 0.002107063075527549, index : 4000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7236074744108547, loss : 0.0016334597021341324, index : 4200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7243524199045667, loss : 0.004041649401187897, index : 4400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7245435774831552, loss : 0.008638917468488216, index : 4600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7252134971880856, loss : 0.00026175944367423654, index : 4800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7251299740051994, loss : 0.0408012755215168, index : 5000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7249327052489914, loss : 0.05478286370635033, index : 5200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7245417515274956, loss : 0.008884905837476254, index : 5400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7244242099625083, loss : 0.0022832138929516077, index : 5600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7243147733149466, loss : 0.09854823350906372, index : 5800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7244625895684061, loss : 0.00021333560289349407, index : 6000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.724520238671183, loss : 6.140786717878655e-05, index : 6200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7246719262615224, loss : 9.164549737761263e-06, index : 6400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7250984699287994, loss : 0.0030507007613778114, index : 6600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7253712689310403, loss : 3.529838431859389e-05, index : 6800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7253428081702622, loss : 1.6391288681916194e-07, index : 7000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7253853631440086, loss : 0.009671922773122787, index : 7200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.725138494798001, loss : 0.0010795060079544783, index : 7400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7255459807920017, loss : 0.004085497930645943, index : 7600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7256281245994111, loss : 5.1173610700061545e-05, index : 7800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7253937007874023, loss : 7.549717702204362e-05, index : 8000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7247744177539331, loss : 0.0006108058150857687, index : 8200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7246607546720635, loss : 0.0009086819482035935, index : 8400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7246250435995821, loss : 0.00021910486975684762, index : 8600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7251022611066934, loss : 0.00026217757840640843, index : 8800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7248639040106662, loss : 0.047659698873758316, index : 9000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.724676665579829, loss : 5.594402682618238e-05, index : 9200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7248032124242105, loss : 0.13183729350566864, index : 9400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7246380585355688, loss : 0.0005890652537345886, index : 9600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7247857361493724, loss : 1.1206175258848816e-05, index : 9800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7243275672432752, loss : 0.0031659684609621763, index : 10000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.724389765709244, loss : 0.021476654335856438, index : 10200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7241851745024511, loss : 1.028184328788484e-06, index : 10400, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7243538345439111, loss : 0.009176448918879032, index : 10600, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7238681603555228, loss : 0.0015251769218593836, index : 10800, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7235251340787203, loss : 0.004629914648830891, index : 11000, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.7235849477725209, loss : 4.038279712403892e-06, index : 11200, learning_rate : 1e-05, reg : 1e-05, batch_size : 8 

accuracy : 0.625, loss : 9.32042530621402e-05, index : 0, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7257462686567164, loss : 4.6193684966056026e-07, index : 200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7206982543640897, loss : 0.0003738325322046876, index : 400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.725665557404326, loss : 4.52630192739889e-05, index : 600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7248751560549312, loss : 0.0015061121666803956, index : 800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7265234765234764, loss : 0.0032424393575638533, index : 1000, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7302248126561203, loss : 0.000195514498045668, index : 1200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7311741613133471, loss : 3.7252959828038e-07, index : 1400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7304809494066205, loss : 0.00016710897034499794, index : 1600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.729594669627984, loss : 0.013410057872533798, index : 1800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7296351824087952, loss : 2.1601099433610216e-05, index : 2000, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7303498409813715, loss : 1.1936400369449984e-05, index : 2200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7302686380674706, loss : 0.004084027372300625, index : 2400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7297673971549388, loss : 0.00036993922549299896, index : 2600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7305426633345226, loss : 0.0001373896811855957, index : 2800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7311312895701425, loss : 3.342032141517848e-05, index : 3000, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7307482036863473, loss : 1.2681531188718509e-05, index : 3200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7320273448985586, loss : 0.02398058772087097, index : 3400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7325742849208546, loss : 4.693953997048084e-06, index : 3600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7324717179689549, loss : 1.6540398064535111e-06, index : 3800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7332541864533861, loss : 2.6822378913493594e-06, index : 4000, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7324149012139961, loss : 0.00026113976491615176, index : 4200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7323619631901833, loss : 4.604543391906191e-06, index : 4400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7332101717018035, loss : 0.010221606120467186, index : 4600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7335450947719215, loss : 0.0004328001232352108, index : 4800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7338032393521275, loss : 0.0026546400040388107, index : 5000, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7332003460872892, loss : 0.000437181384768337, index : 5200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.733452138492871, loss : 0.00011163717863382772, index : 5400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7338421710408839, loss : 0.0002676504373084754, index : 5600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7333649370798122, loss : 0.00020293965644668788, index : 5800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7335027495417415, loss : 4.4703490686970326e-08, index : 6000, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7334704079987084, loss : 0.00011089145846199244, index : 6200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7329518825183551, loss : 7.450602765857184e-07, index : 6400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.733392667777608, loss : 5.856293682882097e-06, index : 6600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7332561388031158, loss : 0.024584230035543442, index : 6800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7334487930295659, loss : 3.710194505401887e-05, index : 7000, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7342383002360771, loss : 0.0, index : 7200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7343264423726511, loss : 0.006343857850879431, index : 7400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7341797131956309, loss : 1.0728882671173778e-06, index : 7600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7345692859889746, loss : 2.3747255909256637e-05, index : 7800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7345175603049607, loss : 1.847757630457636e-06, index : 8000, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7346055359102538, loss : 9.552312985761091e-05, index : 8200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.734778597785977, loss : 1.0430817098949774e-07, index : 8400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7348709452389248, loss : 4.664150310418336e-06, index : 8600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7351295307351434, loss : 5.4065654694568366e-05, index : 8800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7348489056771468, loss : 4.4040687498636544e-05, index : 9000, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7348114335398318, loss : 8.195665373023076e-07, index : 9200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7351478566109979, loss : 6.82491827319609e-06, index : 9400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7349885428601166, loss : 3.576283802431135e-07, index : 9600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7348102234465846, loss : 0.02692059613764286, index : 9800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7347015298470129, loss : 8.791715799816302e-07, index : 10000, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7347563964317197, loss : 4.321344135860272e-07, index : 10200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7349413517930937, loss : 0.0, index : 10400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7346948401094201, loss : 6.5119770624733064e-06, index : 10600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7349319507452977, loss : 0.002778311027213931, index : 10800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7350809017362028, loss : 8.970820999820717e-06, index : 11000, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7350236586019077, loss : 0.0, index : 11200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.75, loss : 3.283902333350852e-05, index : 0, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7562189054726368, loss : 0.018672330304980278, index : 200, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7503117206982544, loss : 1.4901162970204496e-08, index : 400, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7545757071547428, loss : 0.000444770441390574, index : 600, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7576466916354561, loss : 0.4610547125339508, index : 800, learning_rate : 4e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.75, loss : 1.4946758710721042e-05, index : 0, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7661691542288555, loss : 2.980232594040899e-08, index : 200, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7546758104738153, loss : 0.0006178963230922818, index : 400, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7562396006655567, loss : 1.1697959052980877e-05, index : 600, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.754993757802746, loss : 0.0006112251430749893, index : 800, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7531218781218777, loss : 0.00010448589455336332, index : 1000, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7506244796003323, loss : 0.00045554546522907913, index : 1200, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7503568879371868, loss : 1.1771973049690132e-06, index : 1400, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7505465334166138, loss : 2.980232594040899e-08, index : 1600, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7495835646862846, loss : 1.117592091759434e-06, index : 1800, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7481884057971008, loss : 6.697631033603102e-05, index : 2000, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7483530213539296, loss : 4.768380676978268e-07, index : 2200, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7484902124114945, loss : 9.983817790271132e-07, index : 2400, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7480296039984613, loss : 9.834805041464278e-07, index : 2600, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7481702963227412, loss : 2.8461543024604907e-06, index : 2800, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7474591802732417, loss : 0.08108632266521454, index : 3000, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7466416744767255, loss : 8.940700269022273e-08, index : 3200, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7475374889738307, loss : 1.9402817997615784e-05, index : 3400, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7472577061927237, loss : 2.756745288934326e-06, index : 3600, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7461852144172582, loss : 4.829654062632471e-05, index : 3800, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7453449137715566, loss : 9.549330570735037e-05, index : 4000, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7450309450130915, loss : 2.980232594040899e-08, index : 4200, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7442626675755502, loss : 0.02952892705798149, index : 4400, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7431808302542915, loss : 0.0001328473590547219, index : 4600, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7427098521141424, loss : 0.0007117498898878694, index : 4800, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7427514497100577, loss : 0.0003697598585858941, index : 5000, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.742645645068256, loss : 2.4104952899506316e-05, index : 5200, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7426402518052205, loss : 4.768380676978268e-07, index : 5400, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7431039100160683, loss : 2.443814310026937e-06, index : 5600, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7427167729701774, loss : 0.00016440081526525319, index : 5800, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7431469755040825, loss : 0.04082974046468735, index : 6000, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7427027898726011, loss : 0.001001342199742794, index : 6200, learning_rate : 8e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5, loss : 0.02870701067149639, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7481343283582088, loss : 0.05699151009321213, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7521820448877803, loss : 2.352369665459264e-05, index : 400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7472961730449247, loss : 0.0010412068804726005, index : 600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7504681647940072, loss : 0.00015004040324129164, index : 800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7493756243756241, loss : 4.0284328861162066e-05, index : 1000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7478143213988337, loss : 0.00036282543442212045, index : 1200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7479478943611699, loss : 8.04688625066774e-06, index : 1400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7485946283572761, loss : 4.4703490686970326e-08, index : 1600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7486812881732365, loss : 0.00010570881568128243, index : 1800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7486256871564213, loss : 0.0058573707938194275, index : 2000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7503975465697406, loss : 3.719138112501241e-05, index : 2200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7505206164098286, loss : 0.00014488596934825182, index : 2400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7514417531718559, loss : 0.0008621824672445655, index : 2600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7508032845412334, loss : 0.00016905617667362094, index : 2800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7512495834721741, loss : 4.023320059332036e-07, index : 3000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7514448609809418, loss : 0.0001099667715607211, index : 3200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7518009408997338, loss : 1.0520662726776209e-05, index : 3400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7508331019161328, loss : 5.7636076235212386e-05, index : 3600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7508879242304642, loss : 0.0012499390868470073, index : 3800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7510309922519357, loss : 3.8147554732859135e-06, index : 4000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7506546060461782, loss : 0.00020202920131850988, index : 4200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7509372869802312, loss : 1.3009390386287123e-05, index : 4400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7506248641599639, loss : 0.00019123124366160482, index : 4600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7493751301812107, loss : 1.2085425623808987e-05, index : 4800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7494251149770026, loss : 0.00034054520074278116, index : 5000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.749615458565658, loss : 1.4901162970204496e-08, index : 5200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7497454175152736, loss : 3.084578338530264e-06, index : 5400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.7495759685770382, loss : 1.0579868785498547e-06, index : 5600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

